name,side,structure
Whole_hippocampal_head_rhx,Right,NA
Whole_hippocampal_body_rhx,Right,NA
Hippocampal_tail_rhx,Right,NA
hippocampal_fissure_rhx,Right,NA
fimbria_rhx,Right,NA
parasubiculum_rhx,Right,NA
HATA_rhx,Right,NA
presubiculum_head_rhx,Right,NA
subiculum_head_rhx,Right,NA
CA1_head_rhx,Right,NA
CA3_head_rhx,Right,NA
molecular_layer_HP_head_rhx,Right,NA
GC_ML_DG_head_rhx,Right,NA
CA4_head_rhx,Right,NA
presubiculum_body_rhx,Right,NA
subiculum_body_rhx,Right,NA
CA1_body_rhx,Right,NA
CA3_body_rhx,Right,NA
molecular_layer_HP_body_rhx,Right,NA
GC_ML_DG_body_rhx,Right,NA
CA4_body_rhx,Right,NA
Whole_hippocampal_head_lhx,Left,NA
Whole_hippocampal_body_lhx,Left,NA
Hippocampal_tail_lhx,Left,NA
hippocampal_fissure_lhx,Left,NA
fimbria_lhx,Left,NA
parasubiculum_lhx,Left,NA
HATA_lhx,Left,NA
presubiculum_head_lhx,Left,NA
subiculum_head_lhx,Left,NA
CA1_head_lhx,Left,NA
CA3_head_lhx,Left,NA
molecular_layer_HP_head_lhx,Left,NA
GC_ML_DG_head_lhx,Left,NA
CA4_head_lhx,Left,NA
presubiculum_body_lhx,Left,NA
subiculum_body_lhx,Left,NA
CA1_body_lhx,Left,NA
CA3_body_lhx,Left,NA
molecular_layer_HP_body_lhx,Left,NA
GC_ML_DG_body_lhx,Left,NA
CA4_body_lhx,Left,NA
