"domain","outcome","predictors","nCON","nPD","F","df1","df2","Pr(>F)","sig.","BF10","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers"
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.995219000679795,,0.72971712152794,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE",41,43,19.7804892765635,1,80,2.77274007822951e-05,":-)",1169.49219849344,0.419342016267458,,0.985854220477906,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,3.85020083486047,2,78,0.0254306854020768,,0.620908224913308,0.754922404937168,,0.617239782720756,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,1.74081361000221,4,74,0.150080035785116,,0.00619160713189424,0.821487056097291,,0.82361227228348,,0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.524524246144745,,0.202988992808599,,0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE",41,43,11.7387814704632,1,80,0.00096892670986995,":-)",34.3009010628307,0.823985617722315,,0.0386516863617709,"!",0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,0.149095240645879,2,78,0.861731990357331,,0.013973971921118,0.903858634421974,,0.0379117867695894,"!",0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,0.835233113647243,4,74,0.507126188214565,,0.000905532743925163,0.592610106873399,,0.45890665840775,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.631553265648394,,0.757888414379768,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE",41,43,8.38475365492017,1,80,0.00487681456735352,":-)",7.17678352707673,0.82988962047441,,0.892945725272403,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,0.843466442102549,2,78,0.434102375811153,,0.0292419329642176,0.731141305611649,,0.851992465245524,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,0.523093051961677,4,74,0.719031657551471,,0.000457126491643094,0.723834716401959,,0.801202473989726,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education",40,43,,,,,,,0.354057442844097,,0.545100479524343,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE",40,43,2.79005400400682,1,79,0.0988087076121043,,0.463454608958,0.507058855912019,,0.44266940888886,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE * GROUP",40,43,0.185130149487561,2,77,0.831364904895064,,0.0147021286499984,0.46660463868451,,0.36100162122078,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",40,43,0.478312498377455,4,73,0.751527090187049,,0.00042474534190543,0.27214611351772,,0.387988890646647,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.0133743496001888,"!",0.897447420232361,,0
