y,X,sigma,coefficient,Estimate,Est.Error,Q2.5,Q97.5
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1,-0.605170348633922,0.212216624861901,-1.02172450424992,-0.191784762514406
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1,-0.935354206874955,0.195396029968842,-1.30363132129893,-0.542504058687421
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1,-0.893590995543941,0.186200185622947,-1.25684920367718,-0.539508413001046
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,AHI.F1,-0.148957784234385,0.218970436061636,-0.575429272480619,0.283629414027184
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,AHI.F1,-0.124513113876742,0.201655579857864,-0.524998631008848,0.256675134378647
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,AHI.F1,-0.114107427223728,0.188727278995263,-0.490794264114081,0.249706207340107
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,-0.117990081607049,0.397027484589443,-0.890908549785552,0.641464216448748
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,0.452630821276949,0.360434837812714,-0.236455922765332,1.14441157821281
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,0.235635818736483,0.340449795259995,-0.425835025666891,0.890557317613714
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.568022092941455,0.21394313979232,-0.989931380868709,-0.157717253497423
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.868092178111934,0.172953502748056,-1.20383525741431,-0.53384617612397
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.93659704625295,0.175006094819237,-1.27562925782898,-0.591174174290444
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.120097636820147,0.208137178952958,-0.51631120589559,0.284814741066996
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.0338980317101807,0.171720104767463,-0.373383070513112,0.29421408728252
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.085987441871244,0.181448628102441,-0.428144206235107,0.279865201080692
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.221230291552077,0.396110411852142,-0.983931963756982,0.573264546548661
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.376714805246865,0.317688639614168,-0.257230944863806,1.00375383581381
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.220797071703023,0.336133581864396,-0.466570133277393,0.883790475303293
