y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,0.104085926871927,0.176337709864356,-0.247047312968193,0.455219166712048,0.590264708280453,0.556741579846227,0.844920261013862,,,,0.832958537660524,,0,0.465590801545418,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.0189904598595764,0.208603570241564,-0.4343732359968,0.396392316277647,-0.0910361209905726,0.927700300414044,0.108269286236761,,,,0.0550094562038914,,0,0.759104925222653,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,0.0362135001923529,0.200421138222595,-0.362875972222133,0.435302972606838,0.180687029888698,0.85708796899934,0.222484808955753,,,,0.557872135113562,,0,0.680453364784451,
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.07064654169747,0.21725906176698,-0.503355464215862,0.362062380820922,-0.325171899035639,0.745944452367338,0.422859892393305,,,,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,0.124905046457492,0.220695368194858,-0.314555575502378,0.564365668417361,0.565961340644038,0.57306579214456,0.803227314453461,,,,0.829707754041856,,0,1.4185588696213e-06,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.338043467657624,0.211477795818665,-0.759149558108587,0.083062622793339,-1.59848208342159,0.114031469050609,3.13249607770639,,,,0.313933426662048,,0,0.0105311481283416,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,0.019060534892067,0.211524848135191,-0.402411925328843,0.440532995112977,0.0901101457351472,0.928443142863585,0.107114531544485,,,,0.874867427465807,,0,0.0333051901602477,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,0.432770226494033,0.215727556698686,0.00292368666279108,0.862616766325274,2.00609617573567,0.0485012907906508,4.36583304675351,*,,,0.0340673865809835,!,0,0.00169426338628467,!
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.63277293925993,0.211974178910529,-1.05486745472436,-0.210678423795496,-2.98514159843503,0.00379793283082134,8.04056989405037,*,*,*,0.00173476160769921,!,0,0.101991143590624,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.32322570526498,0.21298081832911,-0.74759924942496,0.101147838894999,-1.5176282437112,0.133368914471914,2.9065056514777,,,,0.568108643182487,,0,0.584139847684819,
