"domain","outcome","predictors","nCON","nPD","F","df1","df2","Pr(>F)","sig.","BF10","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers"
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.419342016267458,,0.985854220477906,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,0.254971785056488,-1,80,0.615001577309145,,0.124921209972899,0.431005838025267,,0.821894014939153,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,43,0.803633602260852,-2,79,0.451418172130736,,0.0283493810677754,0.464021944409535,,0.833371777633952,,0
"memory","avlt_1_5"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,43,1.46086080968029,-8,77,0.18770478688348,,1.4353084902611e-05,0.584414986655089,,0.964012470363185,,0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.823985617722315,,0.0386516863617709,"!",0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,0.0163074427119067,-1,80,0.898710423603477,,0.110058909629893,0.791138095260556,,0.0397102985226871,"!",0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,43,0.291267057291355,-2,79,0.748135767499473,,0.0163379145835571,0.759711853182399,,0.0546819995444671,,0
"memory","avlt_6"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,43,0.696073560216995,-8,77,0.693725357718637,,5.23082009671889e-07,0.962469528587287,,0.130979330228161,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.82988962047441,,0.892945725272403,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,0.0231920604508495,-1,80,0.879346957559568,,0.110462381739414,0.842108423682584,,0.95758827825581,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,43,0.278814002428677,-2,79,0.757441270246032,,0.0161190716338102,0.68235565069897,,0.560147167205648,,0
"memory","avlt_8"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,43,1.35833159101172,-8,77,0.230425157109748,,9.34482858347424e-06,0.529420099240832,,0.603932679659156,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE",40,43,,,,,,,0.507058855912019,,0.44266940888886,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE + GROUP",40,43,0.366903221716905,-1,79,0.546455717334503,,0.133364851032457,0.482351662374223,,0.350298272235539,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",40,43,0.642073121654618,-2,78,0.529030594064083,,0.0241496029168318,0.303678983557939,,0.441152007472051,,0
"memory","avlt_r_fp"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",40,43,0.743016456696168,-8,76,0.653365564594586,,6.82451596038874e-07,0.252506438691382,,0.592628645866125,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.101172763561222,,0.825769790047703,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,1.33358125343516,-1,80,0.251650277873123,,0.220395084912701,0.101522143557175,,0.232260952558382,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,43,0.759395988885239,-2,79,0.471421039417894,,0.0270396986557238,0.357737689300099,,0.360360865148444,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,43,0.618755188804914,-8,77,0.759200902181039,,3.68667431858055e-07,0.339892554966081,,0.143330113669452,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.00431036944485918,"!",0.80966635446309,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,2.67688795167292,-1,80,0.105792676342868,,0.442270694977357,0.0341249973516809,"!",0.286300611387839,,0
