y,X,term,contrast,SUBJ,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Hippocampal_head_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.275802323070427,0.275843772361134,-0.999849736354922,0.317383232132547,1.6557021846041,-0.816446182257914,0.26484153611706,0.993306925545145,,0,0.498702247450036,
Hippocampal_head_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.991486958315715,0.259229515874001,3.82474563119436,0.0001309071740426,12.8991682167806,0.483406443472918,1.49956747315851,0.993306925545145,,0,0.498702247450036,
Hippocampal_head_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,PD - CON,NA,NA,1.26728928138614,0.371321943754678,3.41291244081013,0.000642725889335578,10.6035087934923,0.539511644957565,1.99506691781472,0.993306925545145,,0,0.498702247450036,
Hippocampal_body_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.238526565052147,0.275773370486971,-0.864936903193184,0.387073421323387,1.36932084755526,-0.779032439101831,0.301979308997537,0.397224028762924,,0,0.0196404131920835,!
Hippocampal_body_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.842362954589036,0.259163349053934,3.25031667349589,0.00115276565439385,9.76068502718548,0.334412124330543,1.35031378484753,0.397224028762924,,0,0.0196404131920835,!
Hippocampal_body_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,PD - CON,NA,NA,1.08088951964118,0.371227172988099,2.91166595090774,0.00359506880784248,8.11976490126229,0.353297630501889,1.80848140878048,0.397224028762924,,0,0.0196404131920835,!
Hippocampal_tail_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.123643397566205,0.318034556262453,-0.388773468579215,0.697443728900703,0.519851272656325,-0.74697967367979,0.499692878547379,0.234139656089028,,0,0.457276756326606,
Hippocampal_tail_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.881355034816048,0.298879117992194,2.94886789260087,0.00318940280148445,8.29249797226895,0.29556272782025,1.46714734181185,0.234139656089028,,0,0.457276756326606,
Hippocampal_tail_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,PD - CON,NA,NA,1.00499843238225,0.428116275175008,2.34748943373252,0.0189004092263885,5.72543871815961,0.165905951843798,1.84409091292071,0.234139656089028,,0,0.457276756326606,
parasubiculum_right,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.629040833331301,0.34980604764815,-1.79825602661969,0.0721364447078058,3.79312786907249,-1.31464808829598,0.056566421633375,0.874958152547797,,0,0.125953771777729,
