y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Whole_hippocampal_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.35626953252812,0.377695495303783,0.603347323347717,2.10919174170852,3.59090735630104,0.000598494595728142,10.7063741595342,*,*,*,0.993306925545145,,0,0.498702247450036,
Whole_hippocampal_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.12238328722436,0.377599100203209,0.369653238164954,1.87511333628376,2.97242044967886,0.00401570162938284,7.9601322050649,*,*,,0.397224028762924,,0,0.0196404131920835,!
Hippocampal_tail_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.981151216209228,0.435464678827677,0.113068244398142,1.84923418802031,2.25311320047956,0.0272991571013644,5.19499978311513,*,,,0.234139656089028,,0,0.457276756326606,
hippocampal_fissure_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.126123507027024,0.441141684449336,-0.753276368658575,1.00552338271262,0.285902492267219,0.775773767498013,0.366292102390539,,,,0.0111823787473299,!,0,0.083764057496469,
fimbria_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.0207153196715318,0.430590610661878,-0.837651374829608,0.879082014172672,0.0481090835670789,0.961762507872251,0.0562474077681971,,,,0.351164602842651,,0,0.630989615809497,
parasubiculum_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.991461668120261,0.478967372314018,0.036657661792493,1.94626567444803,2.06999834525314,0.0420405739470958,4.57207382435245,*,,,0.874958152547797,,0,0.125953771777729,
HATA_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.991831425467143,0.457513146548765,0.079795636553347,1.90386721438094,2.167875246753,0.0334748714848957,4.90077767293939,*,,,0.988741827133742,,0,0.992993526012277,
presubiculum_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.28846789308041,0.410674715416361,0.469802810148657,2.10713297601215,3.13744149496542,0.00246937131891476,8.66164049407919,*,*,,0.625681767447606,,0,0.439481312008649,
subiculum_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.760624009302055,0.442639074832788,-0.121760859558025,1.64300887816213,1.71838423796948,0.0900241770981168,3.47354368282812,,,,0.499578915180955,,0,0.691298746878033,
CA1_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.27710267280257,0.414618259335972,0.450576278743549,2.1036290668616,3.08018917171642,0.00292858829263561,8.41557889442249,*,*,,0.967415911307399,,0,0.747336663732031,
CA3_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.977730668280611,0.46835282579786,0.0440863737094433,1.91137496285178,2.08759425464126,0.0403736813002843,4.63044105102351,*,,,0.84645795764433,,0,0.641710881440448,
molecular_layer_HP_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.837650563211385,0.403422078303563,0.0334433481262206,1.64185777829655,2.07636271850516,0.0414309248397865,4.59314816460891,*,,,0.00480451481801555,!,0,0.921755153500008,
GC_ML_DG_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.936239992364595,0.445496188993662,0.0481595705190185,1.82432041421017,2.10156678215246,0.0390910884627182,4.67701643380182,*,,,0.401871072670685,,0,0.221852630007404,
CA4_head_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.906330157721547,0.429930443443668,0.0492794825178133,1.76338083292528,2.10808555556569,0.0385048896674601,4.69881452705625,*,,,0.256651022157697,,0,0.330737998680154,
presubiculum_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.18408181815129,0.457745363449434,0.271583113306444,2.09658052299613,2.58676965994455,0.0117083398508639,6.41631966207565,*,*,,0.113853308289289,,0,0.0552313919384748,
subiculum_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.21148400342346,0.455106998265293,0.304244783448755,2.11872322339817,2.66197621227802,0.00957488440497487,6.70652921479172,*,*,,0.667747218386084,,0,0.908649924384266,
CA1_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.703292041893662,0.44934533636468,-0.192461514998751,1.59904559878607,1.56514819444545,0.121933053104549,3.03583883614635,,,,0.874238701542702,,0,0.0373997149233486,!
CA3_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.531553237845767,0.486636136352383,-0.438538170193806,1.50164464588534,1.09230120440719,0.278342218579886,1.84506834354325,,,,0.65244575097603,,0,0.438309800468845,
molecular_layer_HP_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.8107388398716,0.390088914644209,0.0331108007696966,1.5883668789735,2.0783437043092,0.0412427308050556,4.59971632873509,*,,,0.426738344520327,,0,0.397687900967899,
GC_ML_DG_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.776144906961093,0.433139770917549,-0.0873034456353109,1.6395932595575,1.79190404362299,0.0773499250575743,3.69245629589121,,,,0.0599030617039241,,0,0.175780692287222,
CA4_body_rhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,0.822702609267311,0.435990064733567,-0.046427700205606,1.69183291874023,1.88697558915721,0.0631952362465487,3.98404037982976,,,,0.0835266136117642,,0,0.0307736733248245,!
Whole_hippocampal_head_lhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.22089247707727,0.359959843467633,0.503325643663235,1.93845931049131,3.3917463273568,0.00113120859365924,9.7879192993752,*,*,*,0.972511895939071,,0,0.757794072588497,
Whole_hippocampal_body_lhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.16198920338022,0.35464924923952,0.45500884607725,1.86896956068319,3.2764462518161,0.0016190474399481,9.27063902578186,*,*,,0.894282820327997,,0,0.97872892142771,
Hippocampal_tail_lhx,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1:AHI.F1,1.26119105122397,0.431856338949882,0.400301173495399,2.12208092895254,2.92039490329291,0.00466491010805289,7.74393500378137,*,*,,0.700781368943694,,0,0.287294492332382,
