y,X,term,contrast,SUBJ,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Hippocampal_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.374203766517159,0.253922226906416,-1.4736944105924,0.140563888462587,2.83070208815456,-0.871882186127942,0.123474653093623,0.797696404705556,,0,0.924480701954797,
Hippocampal_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.802394229176972,0.239235992475037,3.35398624962629,0.000796563210809678,10.2939235290315,0.333500300120205,1.27128815823374,0.797696404705556,,0,0.924480701954797,
Hippocampal_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,1.17659799569413,0.340680321766127,3.45367172836549,0.000553010085567275,10.8204065875791,0.508876834791005,1.84431915659726,0.797696404705556,,0,0.924480701954797,
Hippocampal_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.375164797681247,0.255439658556516,-1.46870223598518,0.141913570735212,2.81691553863724,-0.875817328675226,0.125487733312733,0.807107183833298,,0,0.164108886283102,
Hippocampal_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.594366110570833,0.240665660084359,2.46967560873659,0.0135235623670994,6.20838095439879,0.122670084489931,1.06606213665173,0.807107183833298,,0,0.164108886283102,
Hippocampal_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.969530908252079,0.342716218146556,2.82896127150154,0.00466993497958404,7.74238182151188,0.297819463767057,1.6412423527371,0.807107183833298,,0,0.164108886283102,
Hippocampal_tail_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.114572353100006,0.294797650830636,-0.388647442668492,0.697536966238733,0.519658419743204,-0.692365131455066,0.463220425255054,0.254557002075126,,0,0.406490148498044,
Hippocampal_tail_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.58135543318269,0.277747279385231,2.09310937075412,0.0363393924001782,4.7823218920678,0.0369807687836532,1.12573009758173,0.254557002075126,,0,0.406490148498044,
Hippocampal_tail_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.695927786282696,0.395521729539477,1.75951846461886,0.0784894868139234,3.67135676299538,-0.079280558717672,1.47113613128306,0.254557002075126,,0,0.406490148498044,
parasubiculum_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.774463350142299,0.311137095646113,-2.48913858546515,0.0128053039447451,6.28711469284306,-1.38428085186307,-0.164645848421525,0.781571644353892,,0,0.321922198686893,
parasubiculum_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.398235451560092,0.293141700672009,1.3585083618167,0.17430243110538,2.52033540311042,-0.176311724123866,0.97278262724405,0.781571644353892,,0,0.321922198686893,
parasubiculum_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,1.17269880170239,0.417443907101679,2.80923683817656,0.00496590996392557,7.65372618017021,0.354523778217416,1.99087382518737,0.781571644353892,,0,0.321922198686893,
HATA_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.313716668485936,0.297364348609262,-1.05499085533673,0.291429507087754,1.77878113795845,-0.896540082046302,0.269106745074431,0.802569907349076,,0,0.98453923597672,
HATA_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.673929094391417,0.280165522430252,2.40546762694255,0.016151782937627,5.95216276211265,0.124814760718275,1.22304342806456,0.802569907349076,,0,0.98453923597672,
HATA_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.987645762877353,0.398965393863429,2.47551737085106,0.013304328952956,6.23196044458988,0.205687959827195,1.76960356592751,0.802569907349076,,0,0.98453923597672,
presubiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.402513762806806,0.2790654533399,-1.44236328069081,0.149199916888401,2.74468136294519,-0.949472000682354,0.144444475068742,0.884299727610112,,0,0.359524937666965,
presubiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.815103379825165,0.26292498256611,3.10013666966856,0.00193431366541826,9.01396252560165,0.299779883359767,1.33042687629056,0.884299727610112,,0,0.359524937666965,
presubiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,1.21761714263197,0.374414284405053,3.25205846397333,0.00114572452609716,9.76952407530322,0.483778629900731,1.95145565536321,0.884299727610112,,0,0.359524937666965,
subiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.0244835023181752,0.291531581174281,-0.0839823329587703,0.933070478395701,0.0999420373989943,-0.59587490177578,0.54690789713943,0.342437375037152,,0,0.759316198263663,
subiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.436123154924317,0.274670113494206,1.58780709475884,0.112329966676206,3.15418524276809,-0.102220375153856,0.97446668500249,0.342437375037152,,0,0.759316198263663,
subiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.460606657242492,0.391139739533448,1.17760127823346,0.238955600047918,2.0651855166033,-0.306013145165443,1.22722645965043,0.342437375037152,,0,0.759316198263663,
CA1_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.263354773629935,0.281146858297136,-0.936716046642083,0.348904639780507,1.51909531207614,-0.814392490258908,0.287682942999038,0.830683132475352,,0,0.889990632510088,
CA1_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.766977134324003,0.264886018308861,2.89549874780366,0.00378556540116714,8.04527549157354,0.247810078430419,1.28614419021759,0.830683132475352,,0,0.889990632510088,
CA1_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,1.03033190795394,0.3772068479906,2.73147720791011,0.0063051101943771,7.30926269991475,0.291020071170488,1.76964374473739,0.830683132475352,,0,0.889990632510088,
CA3_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.448052232190233,0.31134607789624,-1.43908102269254,0.150127568134406,2.73573916950211,-1.05827933159466,0.162174867214199,0.180445384943983,,0,0.341516303571414,
CA3_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.450364194163575,0.293338589558777,1.53530496904954,0.12470893414375,3.00336327139436,-0.124568876647405,1.02529726497456,0.180445384943983,,0,0.341516303571414,
CA3_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.898416426353808,0.417724243076793,2.15074044957608,0.0314966917601811,4.98865588598202,0.0796919544540395,1.71714089825358,0.180445384943983,,0,0.341516303571414,
CA4DG_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.307991478115158,0.24308064321136,-1.26703415807304,0.205143076396546,2.28529763096608,-0.784420784148254,0.168437827917937,0.15105371895481,,0,0.847417994794857,
CA4DG_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.673437833824922,0.229021461347436,2.94050099000672,0.00327681954416392,8.25348805941897,0.224564017897215,1.12231164975263,0.15105371895481,,0,0.847417994794857,
CA4DG_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,0.98142931194008,0.326134474225687,3.00927804173479,0.00261869343228796,8.57693710989366,0.342217488340827,1.62064113553933,0.15105371895481,,0,0.847417994794857,
presubiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.753715537420465,0.300660444491279,-2.5068663045974,0.0121806774266556,6.35926181901821,-1.34299918019917,-0.164431894641755,0.253682690673449,,0,0.0919043540920718,
presubiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),PD,0.374610387228615,0.283270986546797,1.3224453086258,0.186019909837405,2.42647105265906,-0.180590544268237,0.929811318725466,0.253682690673449,,0,0.0919043540920718,
presubiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,NA,1.12832592464908,0.403387673547215,2.79712544195283,0.00515595107714198,7.5995457100819,0.337700612689137,1.91895123660902,0.253682690673449,,0,0.0919043540920718,
subiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),CON,-0.58195248870891,0.297594909931034,-1.95551895979597,0.0505218477393035,4.30694878589109,-1.16522779415618,0.00132281673835688,0.695609626214561,,0,0.802106107742647,
