y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
Hippocampal_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.17500936266133,0.341129718655661,0.495590645679062,1.8544280796436,3.44446495981605,0.000934422011481442,10.0636381204417,*,*,*,0.797696404705556,,0,0.924480701954797,
Hippocampal_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.960789067433374,0.343168298884887,0.277310166045991,1.64426796882076,2.799760556425,0.00648006706295664,7.26977554085862,*,*,,0.807107183833298,,0,0.164108886283102,
Hippocampal_tail_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.688993300084756,0.39604347156936,-0.0997956344685247,1.47778223463804,1.73969109339072,0.0859615873819695,3.54016406569969,,,,0.254557002075126,,0,0.406490148498044,
parasubiculum_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.17899884648581,0.417994571611044,0.346490507227941,2.01150718574368,2.82060803311796,0.00611136965508032,7.35428853749048,*,*,,0.781571644353892,,0,0.321922198686893,
HATA_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.997519214681069,0.399491675649874,0.201862586508164,1.79317584285397,2.49697121487789,0.0146900592939053,6.08901597067764,*,*,,0.802569907349076,,0,0.98453923597672,
presubiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.21519795998491,0.374908179072743,0.468503608593972,1.96189231137585,3.24132154969371,0.00176724745916341,9.14428021697876,*,*,,0.884299727610112,,0,0.359524937666965,
subiculum_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.455626830846037,0.391655693552247,-0.324423086413358,1.23567674810543,1.16333513937608,0.248333073949032,2.00965167693026,,,,0.342437375037152,,0,0.759316198263663,
CA1_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.03397853852978,0.377704428613414,0.281714973518957,1.78624210354061,2.73753353204146,0.00770524127232702,7.01994415245935,*,*,,0.830683132475352,,0,0.889990632510088,
CA3_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.906434001864629,0.4182752725037,0.0733665983273516,1.73950140540191,2.16707527662088,0.0333620424112888,4.90564857705804,*,,,0.180445384943983,,0,0.341516303571414,
CA4DG_head_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.972329523723104,0.326564683768505,0.3219195877841,1.62273945966211,2.97744848739482,0.00389814331581684,8.0029971521942,*,*,,0.15105371895481,,0,0.847417994794857,
presubiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.10776235817507,0.40391979817679,0.303286359653162,1.91223835669699,2.7425304804946,0.00759954589083477,7.03987107144984,*,*,,0.253682690673449,,0,0.0919043540920718,
subiculum_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.10160501151095,0.399801437285003,0.305331439573839,1.89787858344806,2.75538031826948,0.00733380465997658,7.09122244509685,*,*,,0.695609626214561,,0,0.802106107742647,
CA1_body_right,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.41967616944475,0.39674164998118,-0.370503307927997,1.2098556468175,1.05780718879568,0.293494038143709,1.76859689726878,,,,0.745542683042572,,0,0.194408485602857,
