"domain","outcome","predictors","nCON","nPD","F","df1","df2","Pr(>F)","sig.","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers"
"memory","avlt_1_5","intercept",41,43,,,,,,0.467382672685219,,1,,0
"memory","avlt_1_5","diagnosis",41,43,0.487865191513737,1,82,0.486857344742167,,0.559230122437808,,0.0270894810397871,"!",0
"memory","avlt_1_5","ahi",41,43,2.34375400994491,2,80,0.102523950529372,,0.33823245138232,,0.257939095489558,,0
"memory","avlt_1_5","hippo",41,43,2.01362466958386,8,72,0.0567371475239943,,0.895449845804439,,0.427518879844924,,0
"memory","avlt_6","intercept",41,43,,,,,,0.000937037749764777,"!",1,,0
"memory","avlt_6","diagnosis",41,43,0.0349766042668603,1,82,0.852106649088499,,0.00232674716777974,"!",0.701512417158421,,0
"memory","avlt_6","ahi",41,43,0.174594496728532,2,80,0.84011662169896,,0.0195050624163699,"!",0.955880840392504,,0
"memory","avlt_6","hippo",41,43,1.48850351424954,8,72,0.176555792604187,,0.790632251955414,,0.0522881244637938,,0
"memory","avlt_8","intercept",41,43,,,,,,0.35580174596564,,1,,0
"memory","avlt_8","diagnosis",41,43,0.140337498570184,1,82,0.708912801426891,,0.737205032110232,,0.62061552248801,,0
"memory","avlt_8","ahi",41,43,1.85071544482281,2,80,0.163788793566821,,0.466818051386587,,0.160988394569931,,0
"memory","avlt_8","hippo",41,43,1.06704455062007,8,72,0.395744132592609,,0.453292434862686,,0.392896143024214,,0
"memory","avlt_r_fp","intercept",40,43,,,,,,0.00280734324558838,"!",1,,0
"memory","avlt_r_fp","diagnosis",40,43,0.510381970613095,1,81,0.477027369094751,,0.0239487947480581,"!",0.528591834423876,,0
"memory","avlt_r_fp","ahi",40,43,0.110385636969444,2,79,0.895626609474552,,0.0495195300740734,"!",0.551084461643085,,0
"memory","avlt_r_fp","hippo",40,43,1.12358292177368,8,71,0.358264469704907,,0.22681432370148,,0.53847279227163,,0
"memory","avlt_r_fn","intercept",41,43,,,,,,4.54110287018022e-05,"!",1,,0
"memory","avlt_r_fn","diagnosis",41,43,0.894573209028176,1,82,0.347019788924615,,0.00136902776176547,"!",0.351695207555504,,0
"memory","avlt_r_fn","ahi",41,43,0.0501121706324599,2,80,0.95115256212893,,0.00269431548076139,"!",0.288222140889311,,0
"memory","avlt_r_fn","hippo",41,43,0.414513420180845,8,72,0.908665219477994,,0.0471296057374611,"!",0.604422093082477,,0
"attention","tmt_a","intercept",41,43,,,,,,0.00673460593248007,"!",1,,0
"attention","tmt_a","diagnosis",41,43,3.13633083140785,1,82,0.0802818037154373,,0.0631940136088441,,0.00285153908167247,"!",0
"attention","tmt_a","ahi",41,43,0.654489184358676,2,80,0.522467534042095,,0.0398612640492593,"!",0.0471709658275793,"!",0
"attention","tmt_a","hippo",41,43,2.16489651994444,8,72,0.0403175310894705,,0.106088268406591,,0.14802949094062,,0
"attention","stroop_body","intercept",41,40,,,,,,0.0184238494363024,"!",1,,0
"attention","stroop_body","diagnosis",41,40,0.00719594972050758,1,79,0.932611990899522,,0.0233103562764868,"!",0.601051164034002,,0
"attention","stroop_body","ahi",41,40,1.91042495821435,2,77,0.154967815527456,,0.0606607511755712,,0.162348849676369,,0
"attention","stroop_body","hippo",41,40,1.18032679596565,8,69,0.32357399750283,,0.376835907397217,,0.446858931347427,,0
"attention","stroop_slova","intercept",41,40,,,,,,9.69249489151116e-05,"!",1,,0
"attention","stroop_slova","diagnosis",41,40,3.16600473244211,1,79,0.0790323286906968,,0.00114234689972485,"!",0.0773222122722999,,0
"attention","stroop_slova","ahi",41,40,0.662667163404943,2,77,0.518389280550559,,0.00540695106675488,"!",0.00741450067861089,"!",0
"attention","stroop_slova","hippo",41,40,1.47223454273501,8,69,0.183416028706123,,0.125574494817689,,0.0052994687309241,"!",0
"executive","tmt_b","intercept",41,43,,,,,,0.000985272884587428,"!",1,,0
"executive","tmt_b","diagnosis",41,43,9.13840550727079,1,82,0.00333969944288313,":-)",0.0921258002612796,,0.000161710197467947,"!",0
"executive","tmt_b","ahi",41,43,0.0866156291897443,2,80,0.917115384856995,,0.0769486143162101,,0.000209272085706827,"!",0
"executive","tmt_b","hippo",41,43,0.726270630474118,8,72,0.667794376256132,,0.583047191645115,,0.000244085873710345,"!",0
"executive","stroop_barvy","intercept",41,40,,,,,,0.486152092237054,,1,,0
"executive","stroop_barvy","diagnosis",41,40,1.43179184201355,1,79,0.235050938559411,,0.558258451919908,,0.944352891209257,,0
"executive","stroop_barvy","ahi",41,40,1.37660900362198,2,77,0.258575049022791,,0.797539639028548,,0.266196887191071,,0
"executive","stroop_barvy","hippo",41,40,1.06533656355444,8,69,0.397444707509569,,0.328975749707923,,0.286275224433582,,0
"speed","gpt_phk","intercept",41,42,,,,,,2.76546931496976e-07,"!",1,,0
"speed","gpt_phk","diagnosis",41,42,14.905844937562,1,81,0.00022626609469914,":-)",2.14878769218663e-08,"!",1.01667901424139e-05,"!",0
"speed","gpt_phk","ahi",41,42,0.857775670006758,2,79,0.428016005578998,,8.81691078078121e-09,"!",0.00232124675085527,"!",0
"speed","gpt_phk","hippo",41,42,0.380794892159048,8,71,0.927464924682729,,1.68661602757769e-08,"!",7.6520344563874e-07,"!",0
"speed","gpt_lhk","intercept",41,42,,,,,,0.000244875988030716,"!",1,,0
"speed","gpt_lhk","diagnosis",41,42,22.7731221691053,1,81,7.96001783213224e-06,":-)",0.2021814613855,,0.000391254465698004,"!",0
"speed","gpt_lhk","ahi",41,42,0.356562768231047,2,79,0.701199345901013,,0.0652910943210488,,0.0018507877364084,"!",0
"speed","gpt_lhk","hippo",41,42,1.30800998814296,8,71,0.253681764510024,,0.250085217314022,,0.0100460431127413,"!",0
