"Domain","Outcome","Predictor term","N","Effect size","Std. Error","t value","Pr(>|t|)","sig. (PCER = 5%)","sig. (FDR = 5%)","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers","VIF (max)","multicollinearity"
"memory","avlt_1_5","AGE",43,-5.40975343485842,1.73263722759217,-3.12226549719026,0.00353105326891349,":-)",,0.731554664263434,,0.916576218297675,,0,1.94395782925682,
"memory","avlt_1_5","GrAHi2",43,4.54724369327387,2.49867811792895,1.81985973329085,0.0771037219522888,,,0.731554664263434,,0.916576218297675,,0,1.94395782925682,
"memory","avlt_1_5","AGE:GrAHi2",43,-5.22686607914296,2.67933822154176,-1.95080488051833,0.0588976360500989,,,0.731554664263434,,0.916576218297675,,0,1.94395782925682,
"memory","avlt_6","AGE",43,-0.403798199951187,0.302676844040988,-1.33409016216815,0.190552796501772,,,0.207326322661327,,0.837546265365424,,0,1.94395782925682,
"memory","avlt_6","GrAHi2",43,0.455585607165611,0.436497608942655,1.04372990328445,0.303568731767219,,,0.207326322661327,,0.837546265365424,,0,1.94395782925682,
"memory","avlt_6","AGE:GrAHi2",43,-0.666949760334039,0.468057377562905,-1.42493162655983,0.162789407476488,,,0.207326322661327,,0.837546265365424,,0,1.94395782925682,
"memory","avlt_8","AGE",43,-1.06391266774516,0.568910742821567,-1.87008714665606,0.0696206095413915,,,0.309253583100818,,0.0369545393875906,"!",0,1.94395782925682,
"memory","avlt_8","GrAHi2",43,0.377410489101164,0.820439963718451,0.460009879809656,0.648275482404807,,,0.309253583100818,,0.0369545393875906,"!",0,1.94395782925682,
"memory","avlt_8","AGE:GrAHi2",43,-1.27381546008221,0.879759636704708,-1.44791305140289,0.156295037138296,,,0.309253583100818,,0.0369545393875906,"!",0,1.94395782925682,
"memory","avlt_r_fp","AGE",43,0.187349791074234,0.182284083810113,1.02779017870479,0.310905042975127,,,0.479953992674153,,0.311208558739435,,0,1.94395782925682,
"memory","avlt_r_fp","GrAHi2",43,-0.327735017387626,0.262876292976815,-1.24672717222367,0.220548634987337,,,0.479953992674153,,0.311208558739435,,0,1.94395782925682,
"memory","avlt_r_fp","AGE:GrAHi2",43,0.136891053186268,0.281882846076142,0.485631016898742,0.630171494708337,,,0.479953992674153,,0.311208558739435,,0,1.94395782925682,
"memory","avlt_r_fn","AGE",43,0.211610049106445,0.118617581831487,1.78396866500842,0.0828602154607551,,,0.403899526288534,,0.286278320997519,,0,1.94395782925682,
"memory","avlt_r_fn","GrAHi2",43,-0.261523371320987,0.17106128819353,-1.52882849230688,0.13504703022042,,,0.403899526288534,,0.286278320997519,,0,1.94395782925682,
"memory","avlt_r_fn","AGE:GrAHi2",43,0.267119634639037,0.183429407891476,1.45625304965862,0.153989488358359,,,0.403899526288534,,0.286278320997519,,0,1.94395782925682,
"attention","tmt_a","AGE",43,0.100349671308927,0.079618678199105,1.26037851392081,0.215641388842474,,,0.0882042368676531,,0.587195717173319,,0,1.94395782925682,
"attention","tmt_a","GrAHi2",43,-0.228949338319759,0.114820024542009,-1.99398440501112,0.0537709930323548,,,0.0882042368676531,,0.587195717173319,,0,1.94395782925682,
"attention","tmt_a","AGE:GrAHi2",43,0.171825295610795,0.123121773127288,1.39557197111802,0.171392553112307,,,0.0882042368676531,,0.587195717173319,,0,1.94395782925682,
"attention","stroop_body","AGE",40,0.0608462932349862,0.0416721688917013,1.46011822406257,0.153713141410413,,,0.389219532757212,,0.291997157416764,,0,2.11179277202299,
"attention","stroop_body","GrAHi2",40,-0.0373934552688216,0.0601212692240441,-0.621967163225939,0.538237245340191,,,0.389219532757212,,0.291997157416764,,0,2.11179277202299,
"attention","stroop_body","AGE:GrAHi2",40,0.108416050065406,0.0618892656281406,1.75177470543631,0.0891024008386644,,,0.389219532757212,,0.291997157416764,,0,2.11179277202299,
"attention","stroop_slova","AGE",40,0.0944192995449277,0.0423730379364401,2.2282872350705,0.0327904041315238,":-)",,0.0222783440333641,"!",0.062298927698892,,1,2.11179277202299,
"attention","stroop_slova","GrAHi2",40,-0.0607252920642147,0.0611324269739334,-0.993340115387659,0.327772472645416,,,0.0222783440333641,"!",0.062298927698892,,1,2.11179277202299,
"attention","stroop_slova","AGE:GrAHi2",40,0.155124519249435,0.0629301586662042,2.46502666666153,0.0190745855145093,":-)",,0.0222783440333641,"!",0.062298927698892,,1,2.11179277202299,
"executive","tmt_b","AGE",43,-0.0230570770855159,0.108782990042378,-0.211954801725285,0.833337768802569,,,0.409769000177964,,0.579264521166642,,0,1.94395782925682,
"executive","tmt_b","GrAHi2",43,-0.15863115244672,0.15687858513782,-1.0111714884945,0.318682683367259,,,0.409769000177964,,0.579264521166642,,0,1.94395782925682,
"executive","tmt_b","AGE:GrAHi2",43,0.34628782950937,0.168221263189173,2.05852591369471,0.046832693076776,":-)",,0.409769000177964,,0.579264521166642,,0,1.94395782925682,
"executive","stroop_barvy","AGE",40,0.0799704377530396,0.0770185995423552,1.0383263033634,0.30666671611074,,,0.161295279425289,,0.607787883310487,,0,2.11179277202299,
"executive","stroop_barvy","GrAHi2",40,0.00411225587935983,0.111116269718971,0.0370085846992554,0.970701134717369,,,0.161295279425289,,0.607787883310487,,0,2.11179277202299,
"executive","stroop_barvy","AGE:GrAHi2",40,0.191366660842745,0.114383884788234,1.67302117074475,0.103778698745384,,,0.161295279425289,,0.607787883310487,,0,2.11179277202299,
"speed","gpt_phk","AGE",42,-0.0271844221067567,0.0803290770092054,-0.338413226180122,0.73707356444897,,,0.00063810624955342,"!",0.609104046229482,,0,1.89479193315395,
"speed","gpt_phk","GrAHi2",42,0.0472726789150446,0.118022433766043,0.400539773724322,0.691193547955821,,,0.00063810624955342,"!",0.609104046229482,,0,1.89479193315395,
"speed","gpt_phk","AGE:GrAHi2",42,0.100401056069625,0.126182838000132,0.795679172071879,0.431582079337379,,,0.00063810624955342,"!",0.609104046229482,,0,1.89479193315395,
"speed","gpt_lhk","AGE",42,0.0561509879800883,0.0608598248697016,0.922628155771155,0.362517876801638,,,0.263135562641935,,0.192105336528553,,0,1.89479193315395,
"speed","gpt_lhk","GrAHi2",42,-0.0163566556195302,0.0894174926082395,-0.182924561429974,0.855912732802199,,,0.263135562641935,,0.192105336528553,,0,1.89479193315395,
"speed","gpt_lhk","AGE:GrAHi2",42,0.0631936941200022,0.0956000704622803,0.661021417813031,0.512926583181204,,,0.263135562641935,,0.192105336528553,,0,1.89479193315395,
