y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
L_hippocampus,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.159120953153912,0.188654239924341,-0.535196307139373,0.21695440083155,-0.843452833171025,0.401768738177427,1.31556278325773,,,,0.771631987399368,,0,0.975764659139146,
L_amygdala,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.0158454238113341,0.198379798450918,-0.411308324384964,0.379617476762296,-0.079874180410837,0.936558920100878,0.0945583358024446,,,,0.546364908326543,,0,0.753548050144473,
Left_Thalamus,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.107594049734111,0.164942700391452,-0.436401313551295,0.221213214083073,-0.652311678411732,0.516277325299934,0.95378185800384,,,,0.254380599937996,,0,0.855501930551248,
Left_Caudate,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.0629867716094607,0.238322826178295,-0.538074642699781,0.41210109948086,-0.264291812158769,0.792310124376531,0.335862857353249,,,,0.0695236022324773,,0,0.193606104755179,
Left_Putamen,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.162182974980594,0.19736894036874,-0.555630766796336,0.231264816835149,-0.821724911111095,0.413946286433567,1.27248451876516,,,,0.857200908212233,,0,0.681654818438157,
Left_Pallidum,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,0.327714229010288,0.222309715416783,-0.115452089188037,0.770880547208613,1.47413363557186,0.144804700061563,2.7878196648042,,,,0.989052272614804,,0,0.430748776620856,
Left_Accumbens_area,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,0.0879369870505561,0.233920873453168,-0.378375751660056,0.554249725761168,0.375926208518376,0.708077138770086,0.498021557094719,,,,0.00621073763466024,!,0,0.748064606292469,
R_hippocampus,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.236434404324867,0.195720424993424,-0.626595940800835,0.153727132151102,-1.20802110629389,0.230992098656712,2.11408459140074,,,,0.537593634396548,,0,0.431720244228274,
R_amygdala,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.227880797618983,0.202818517140831,-0.632192122183616,0.17643052694565,-1.12356998183134,0.264927841189686,1.91632863081107,,,,0.0511478910838492,,0,0.130545522803183,
Right_Thalamus,SUBJ * AHI.F * (AGE + BMI) + GENDER + SBTIV,SUBJ1,-0.0644894363334487,0.172147559951719,-0.40765932518694,0.278680452520043,-0.374617196732476,0.709046310258109,0.496048236960199,,,,0.330836292486548,,0,0.982716520285903,
