y,X,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,SUBJ,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),-0.130083121466731,0.174736799183492,-0.744451781620027,0.456603202055427,1.13098711799385,-0.472560954640184,0.212394711706721,NA,0.779679482565688,,0,0.657085626713353,
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.170216884302871,0.169880020781567,1.00198294961205,0.316351827804129,1.66039816346851,-0.162741838121916,0.503175606727657,NA,0.779679482565688,,0,0.657085626713353,
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.426239812243502,0.242148814054967,-1.76023910712504,0.0783672738405685,3.67360487886279,-0.900842766690324,0.0483631422033199,CON,0.779679482565688,,0,0.657085626713353,
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.713655207822899,0.228143524519377,3.12809758386233,0.0017594175615735,9.15068636721866,0.26650211645889,1.16080829918691,PD,0.779679482565688,,0,0.657085626713353,
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,1.1398950200664,0.324884263492105,3.50861875491887,0.00045044008830307,11.1163771493286,0.503133564478055,1.77665647565475,NA,0.779679482565688,,0,0.657085626713353,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),-0.053655346247257,0.174679376982328,-0.307164744769413,0.758717978784948,0.398364370270937,-0.396020633974515,0.288709941480001,NA,0.531837968738902,,0,0.759824974985168,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.00352307249629644,0.169824203766454,0.0207454085940627,0.983448745983086,0.0240782288023137,-0.329326250589144,0.336372395581737,NA,0.531837968738902,,0,0.759824974985168,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.262576646535001,0.242069248408938,-1.08471707274201,0.278046983913396,1.84659940714877,-0.737023655181199,0.211870362111197,CON,0.531837968738902,,0,0.759824974985168,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.245969483169256,0.228068582148395,1.07848911433673,0.280815537107609,1.83230533485748,-0.201036723846713,0.692975690185225,PD,0.531837968738902,,0,0.759824974985168,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,0.508546129704257,0.324777507196301,1.56582927830924,0.117388589946836,3.09063590813528,-0.128006087389191,1.14509834679771,NA,0.531837968738902,,0,0.759824974985168,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),-0.29851189109987,0.151832730001017,-1.96605758915005,0.0492919586733241,4.34250388046069,-0.596098573576258,-0.000925208623483109,NA,0.232462182333306,,0,0.277883897272425,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.057960071028659,0.147612563665667,0.392649985809709,0.694578015228361,0.525791347603826,-0.231355237421674,0.347275379478992,NA,0.232462182333306,,0,0.277883897272425,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.195910672693931,0.210408539669507,0.931096584775753,0.351803605085406,1.50715782807468,-0.216482487097969,0.608303832485831,CON,0.232462182333306,,0,0.277883897272425,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.0677282549330334,0.198239022877709,-0.341649459071508,0.732614711464307,0.448873423129042,-0.456269600103754,0.320813090237687,PD,0.232462182333306,,0,0.277883897272425,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,-0.263638927626965,0.282299225732064,-0.93389886898659,0.350356062321168,1.51310623503371,-0.816935242925353,0.289657387671424,NA,0.232462182333306,,0,0.277883897272425,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),0.0972671596002145,0.210255671707117,0.462613725520358,0.643641268576871,0.635671264067694,-0.314826384491011,0.50936070369144,NA,0.250665894769998,,0,0.157787462596398,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.0512176221260913,0.204411637228475,0.250561185363651,0.802153394123277,0.31804994825686,-0.349421824862587,0.451857069114769,NA,0.250665894769998,,0,0.157787462596398,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.12466253130616,0.291370563250914,-0.427848750111405,0.668761241676098,0.580436857011008,-0.695738341433101,0.446413278820782,CON,0.250665894769998,,0,0.157787462596398,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.211463984142142,0.274518408844094,0.770308938597406,0.441116655348365,1.18076786124286,-0.326582210285523,0.749510178569807,PD,0.250665894769998,,0,0.157787462596398,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,0.336126515448302,0.390923704388007,0.859826384727705,0.389884752722221,1.35888035872621,-0.430069865855174,1.10232289675178,NA,0.250665894769998,,0,0.157787462596398,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),-0.190828488452235,0.174358396261232,-1.09446113605179,0.273752783428155,1.86905446125088,-0.532564665526413,0.150907688621943,NA,0.772523475109588,,0,0.847720946689092,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.00999045452702623,0.169512093855898,-0.0589365295405949,0.953002662241734,0.0694478505343255,-0.342228053428559,0.322247144374507,NA,0.772523475109588,,0,0.847720946689092,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.0564849892517593,0.241624381367482,0.233771893929249,0.81516207043277,0.294841170556854,-0.417090096015275,0.530060074518794,CON,0.772523475109588,,0,0.847720946689092,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.0705569699699197,0.227649451543401,-0.309936920522157,0.75660892578478,0.402380298794177,-0.516741696095281,0.375627756155442,PD,0.772523475109588,,0,0.847720946689092,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,-0.127041959221679,0.324180693686803,-0.391886258792501,0.695142256476463,0.524619848400995,-0.762424443331024,0.508340524887666,NA,0.772523475109588,,0,0.847720946689092,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),0.222914980092949,0.199490713815044,1.11742033415963,0.263814644848085,1.92240344135451,-0.168079634234724,0.613909594420622,NA,0.459134865765061,,0,0.334869947056191,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.410796466136035,0.193945895473078,2.11809827237648,0.0341667458267557,4.87126334332944,0.0306694960594328,0.790923436212637,NA,0.459134865765061,,0,0.334869947056191,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.0965209407620153,0.276452580023039,0.349141038054234,0.726983428836587,0.460005615760031,-0.445316159516319,0.63835804104035,CON,0.459134865765061,,0,0.334869947056191,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.697136389254586,0.260463251525037,2.67652494228183,0.00743900285200685,7.07067503387669,0.186637796969317,1.20763498153986,PD,0.459134865765061,,0,0.334869947056191,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,0.600615448492571,0.370908670757218,1.6193081905214,0.105380969284832,3.24631374022097,-0.126352187745202,1.32758308473034,NA,0.459134865765061,,0,0.334869947056191,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),0.148430632874785,0.204537112493906,0.725690467930153,0.468028546604043,1.09533156766824,-0.252454741115089,0.549316006864659,NA,0.0207896404215012,!,0,0.692599387388049,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.101640762002868,0.198852030719262,0.511137661683543,0.609254665846116,0.714882700326063,-0.288102056459538,0.491383580465274,NA,0.0207896404215012,!,0,0.692599387388049,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.00910475046467569,0.28344583579458,-0.0321216589375973,0.974375030986735,0.037450931196855,-0.564648380189906,0.546438879260555,CON,0.0207896404215012,!,0,0.692599387388049,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.202542228917741,0.267052025262569,0.758437344628256,0.448189208513755,1.15782018278854,-0.320870122595375,0.725954580430857,PD,0.0207896404215012,!,0,0.692599387388049,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,PD - CON,NA,0.211646979382416,0.380291320195406,0.556539074501267,0.57784239021638,0.791252051746851,-0.533710311833769,0.957004270598602,NA,0.0207896404215012,!,0,0.692599387388049,
R_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ,mean(PD) - mean(CON),-0.170954716242286,0.179220895090771,-0.953877147838712,0.34014583217669,1.55577468308123,-0.52222121589723,0.180311783412657,NA,0.69566214659354,,0,0.541334864283973,
R_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),0.22984947337654,0.174239474784801,1.31915843789372,0.187116149851137,2.41799401303424,-0.111653621886844,0.571352568639924,NA,0.69566214659354,,0,0.541334864283973,
R_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,AHI.F,mean(L) - mean(H),-0.351159881678221,0.248362833517154,-1.41389867680812,0.157391654519593,2.66756904897458,-0.83794209047016,0.135622327113719,CON,0.69566214659354,,0,0.541334864283973,
