y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
L_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.157260579660004,0.174995458638253,-0.505794241442018,0.19127308212201,-0.898655204447848,0.371674698125432,1.42788761527367,,,,0.779679482565688,,0,0.657085626713353,
L_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.0594032436711734,0.174937954846975,-0.407822376727148,0.289015889384801,-0.33956749822036,0.735118858508929,0.443950562328889,,,,0.531837968738902,,0,0.759824974985168,
Left_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.291530631683165,0.152057479936349,-0.594379349563984,0.0113180861976537,-1.91723966361405,0.058965792253927,4.08397794136664,,,,0.232462182333306,,0,0.277883897272425,
Left_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,0.0728160910273636,0.210566899299777,-0.346564234805808,0.492196416860535,0.34580977005174,0.730441106843509,0.453160137108341,,,,0.250665894769998,,0,0.157787462596398,
Left_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.193926669812636,0.17461649013113,-0.541705550399096,0.153852210773823,-1.11058623195899,0.27024786705976,1.88764486340089,,,,0.772523475109588,,0,0.847720946689092,
Left_Pallidum,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,0.194449997475083,0.199786011669085,-0.203458329756382,0.592358324706548,0.973291352335319,0.333496187587952,1.58425782576954,,,,0.459134865765061,,0,0.334869947056191,
Left_Accumbens_area,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,0.154205193375327,0.204839880729727,-0.25376878643695,0.562179173187605,0.752808451293675,0.453890586255218,1.13958352796813,,,,0.0207896404215012,!,0,0.692599387388049,
R_hippocampus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.19779673310444,0.179486186920913,-0.555274455404385,0.159680989195505,-1.10201646431764,0.273932226320147,1.86810909530127,,,,0.69566214659354,,0,0.541334864283973,
R_amygdala,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.241426596241817,0.18001321944417,-0.599953994782725,0.11710080229909,-1.34116037137314,0.183862788723998,2.44329856704337,,,,0.0882961067272846,,0,0.0784399366668807,
Right_Thalamus,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.116188694396752,0.153912021678563,-0.422731052268981,0.190353663475478,-0.754903308588888,0.452640031198458,1.14356391360202,,,,0.393255663210787,,0,0.896238208150238,
Right_Caudate,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,0.0194923154660483,0.208342184634313,-0.395457107103644,0.434441738035741,0.0935591392605472,0.925705579572241,0.111374677245408,,,,0.208725896864968,,0,0.620608602017198,
Right_Putamen,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1,-0.21071003642414,0.160146709953657,-0.529669852163548,0.108249779315267,-1.31573128467713,0.192219468838863,2.3791736288339,,,,0.85657749871321,,0,0.31798297525533,
