y,X,sigma,coefficient,Estimate,Est.Error,Q2.5,Q97.5,p_breusch_pagan,heteroscedasticity,n_cook,n_pareto
tmt_b,SUBJ * AGE + GENDER + EDU.Y,1,SUBJ1,-0.603534105964169,0.202697227204979,-0.999809260153725,-0.194661040838921,< .001,!,1,0
gpt_phk,SUBJ * AGE + GENDER + EDU.Y,1,SUBJ1,-0.797708108318939,0.197485976301472,-1.19114740968641,-0.405401493147486,< .001,!,2,1
gpt_lhk,SUBJ * AGE + GENDER + EDU.Y,1,SUBJ1,-0.884037606732885,0.182286517195068,-1.24559257842276,-0.532823326003315,< .001,!,3,0
tmt_b,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,AHI.F1,-0.238692957450447,0.208501059442318,-0.643341050720328,0.162574371100737,.001,!,1,0
gpt_phk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,AHI.F1,-0.106323435131651,0.209595682465798,-0.518799605107457,0.306213802689529,< .001,!,2,2
gpt_lhk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,AHI.F1,-0.157507781998097,0.189235195308055,-0.52042350888141,0.219498202406526,< .001,!,3,1
tmt_b,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,-0.283070387948099,0.3668836497011,-0.998276709004466,0.4428161611233,.001,!,1,0
gpt_phk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,0.492214657767066,0.372698929396401,-0.235564209582416,1.21741216768909,< .001,!,2,2
gpt_lhk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,1,SUBJ1:AHI.F1,0.140843400473908,0.354520934381521,-0.555420035705995,0.844578854867969,< .001,!,3,1
tmt_b,SUBJ * AGE + GENDER + EDU.Y,SUBJ,SUBJ1,-0.602052523349963,0.202160674202898,-0.999232295172304,-0.211073317853884,.086,,1,0
gpt_phk,SUBJ * AGE + GENDER + EDU.Y,SUBJ * AGE,SUBJ1,-0.711023454334118,0.204197268910691,-1.11206729121679,-0.306993051137549,.247,,2,1
gpt_lhk,SUBJ * AGE + GENDER + EDU.Y,SUBJ + AGE,SUBJ1,-0.856484105617865,0.19434495295733,-1.23852124747359,-0.467837982170465,.095,,3,1
tmt_b,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ,AHI.F1,-0.215165604053208,0.200080768051559,-0.611038999847235,0.18227599885729,.444,,1,0
gpt_phk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ * AGE,AHI.F1,-0.0652830939250007,0.201012470658469,-0.45611564558346,0.324800210732459,.119,,2,4
gpt_lhk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ + AGE,AHI.F1,-0.139219140916106,0.193433128919317,-0.508617499961707,0.233333153341802,.004,!,3,2
tmt_b,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ,SUBJ1:AHI.F1,-0.279997346614971,0.371175871963153,-1.02763524121419,0.439626007651326,.444,,1,0
gpt_phk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ * AGE,SUBJ1:AHI.F1,0.444805388471636,0.373832020760763,-0.288135506779786,1.18126703452975,.119,,2,4
gpt_lhk,SUBJ * AHI.F * AGE + GENDER + EDU.Y,SUBJ + AGE,SUBJ1:AHI.F1,0.12446649593841,0.369860432009203,-0.593844825706589,0.849801158661743,.004,!,3,2
