Predictor,Domain: ,Outcome,F value,Df,Pr(>F),beta,b2.5,b97.5,model_type
PD,Memory,RAVLT-IR,0.487865191513691,1,0.486857344742188,0.152935186660083,-0.282638699715422,0.588509073035588,descriptive
PD,Memory,RAVLT-B,0.0349766042668987,1,0.852106649088418,-0.0410621632667056,-0.477836726098044,0.395712399564633,descriptive
PD,Memory,RAVLT-DR,0.140337498570166,1,0.708912801426909,0.0821979823170578,-0.354296366635936,0.518692331270052,descriptive
PD,Memory,RAVLT-Rec-FP,0.129924348867186,1,0.719448749913856,-0.079604292699889,-0.519020254017943,0.359811668618165,descriptive
PD,Memory,RAVLT-Rec-FN,0.138881501105787,1,0.710357014785005,0.081771194461123,-0.354727023133842,0.518269412056088,descriptive
PD,Attention,TMT-A,3.13633083140791,1,0.0802818037154347,-0.381685799225194,-0.810431128977345,0.0470595305269562,descriptive
PD,Attention,PST-D,0.00719594972043197,1,0.932611990899875,0.0189703924197192,-0.426156233602021,0.464097018441459,descriptive
PD,Attention,PST-W,3.16600473244206,1,0.0790323286906991,0.39018922624963,-0.0462972699666598,0.82667572246592,descriptive
PD,Executive function,TMT-B,9.13840550727078,1,0.00333969944288315,-0.629704841972696,-1.04409187199473,-0.215317811950658,descriptive
PD,Executive function,PST-C,1.43179184201356,1,0.235050938559409,-0.265211070630035,-0.706378077091732,0.175955935831661,descriptive
PD,Processing speed,GPT right,14.9058449375621,1,0.000226266094699137,-0.783763727335465,-1.18768011680503,-0.379847337865904,descriptive
PD,Processing speed,GPT left,22.7731221691052,1,7.9600178321326e-06,-0.931318532475472,-1.31962227101061,-0.543014793940334,descriptive
AHI,Memory,RAVLT-IR,1.8405727508554,1,0.178699935266615,-0.585389654165164,-1.44407779655648,0.273298488226156,descriptive
AHI,Memory,RAVLT-B,0.242153528245796,1,0.624002704775918,-0.218589038651056,-1.10258421778487,0.665406140482755,descriptive
AHI,Memory,RAVLT-DR,0.372721267051979,1,0.543255219516478,-0.265534320398378,-1.13109095966885,0.600022318872091,descriptive
AHI,Memory,RAVLT-Rec-FP,0.00216669995617704,1,0.962991085747522,-0.0208084169367487,-0.910605489132096,0.868988655258598,descriptive
AHI,Memory,RAVLT-Rec-FN,0.104472724711042,1,0.747370173930695,-0.143686923973703,-1.02835978351654,0.74098593556913,descriptive
AHI,Attention,TMT-A,0.348707201075967,1,0.556510396267677,-0.255962886320198,-1.118570839359,0.606645066718607,descriptive
AHI,Attention,PST-D,3.49401307166566,1,0.0653933824738373,0.827209265617922,-0.054001664058518,1.70842019529436,descriptive
AHI,Attention,PST-W,1.30911638933732,1,0.256099089042092,0.504359348091306,-0.37340450463749,1.3821232008201,descriptive
AHI,Executive function,TMT-B,0.136644385198973,1,0.712616724590361,-0.155956595528269,-0.99556111526497,0.683647924208432,descriptive
AHI,Executive function,PST-C,0.129343016702315,1,0.720098677507254,0.158793116239452,-0.720405358760502,1.03799159123941,descriptive
AHI,Processing speed,GPT right,1.52662901645963,1,0.220280735343401,0.503746727019385,-0.307768736078189,1.31526219011696,descriptive
AHI,Processing speed,GPT left,0.544655336502728,1,0.4626964486131,0.291071811473679,-0.493966018937027,1.07610964188438,descriptive
Right Hippocampus (tail),Memory,RAVLT-IR,1.39600962597695,1,0.24107682509067,-0.551489048871807,-1.48112013393392,0.378142036190312,descriptive
Right Hippocampus (tail),Memory,RAVLT-B,0.482749197474229,1,0.489298433575723,-0.334436920932414,-1.2931118873268,0.624238045461971,descriptive
