y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
Whole_hippocampal_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.17500936266133,0.341129718655661,0.495590645679062,1.8544280796436,3.44446495981605,0.000934422011481442,10.0636381204417,*,*,*,0.797696404705556,,0,0.924480701954797,,0.206,
Whole_hippocampal_body_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.960789067433374,0.343168298884887,0.277310166045991,1.64426796882076,2.799760556425,0.00648006706295664,7.26977554085862,*,*,,0.807107183833298,,0,0.164108886283102,,0.726,
Hippocampal_tail_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.688993300084756,0.39604347156936,-0.0997956344685247,1.47778223463804,1.73969109339072,0.0859615873819695,3.54016406569969,,,,0.254557002075126,,0,0.406490148498044,,0.21,
hippocampal_fissure_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,-0.0907381071939982,0.395553927730429,-0.878552030692058,0.697075816304062,-0.229395035247473,0.819178123348665,0.287750907085851,,,,0.0084562618862412,!,0,0.0518567572333016,,0.194,
fimbria_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.332713126798975,0.388410944925677,-0.440874313495698,1.10630056709365,0.856600801665463,0.39435845644703,1.3424205153689,,,,0.76226236573911,,0,0.689519907377037,,0.918,
parasubiculum_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.17899884648581,0.417994571611044,0.346490507227941,2.01150718574368,2.82060803311796,0.00611136965508032,7.35428853749048,*,*,,0.781571644353892,,0,0.321922198686893,,0.488,
HATA_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.997519214681069,0.399491675649874,0.201862586508164,1.79317584285397,2.49697121487789,0.0146900592939053,6.08901597067764,*,*,,0.802569907349076,,0,0.98453923597672,,0.302,
presubiculum_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.21519795998491,0.374908179072743,0.468503608593972,1.96189231137585,3.24132154969371,0.00176724745916341,9.14428021697876,*,*,,0.884299727610112,,0,0.359524937666965,,0.538,
subiculum_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.455626830846037,0.391655693552247,-0.324423086413358,1.23567674810543,1.16333513937608,0.248333073949032,2.00965167693026,,,,0.342437375037152,,0,0.759316198263663,,0.924,
CA1_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,1.03397853852978,0.377704428613414,0.281714973518957,1.78624210354061,2.73753353204146,0.00770524127232702,7.01994415245935,*,*,,0.830683132475352,,0,0.889990632510088,,0.506,
CA3_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.906434001864629,0.4182752725037,0.0733665983273516,1.73950140540191,2.16707527662088,0.0333620424112888,4.90564857705804,*,,,0.180445384943983,,0,0.341516303571414,,0.36,
molecular_layer_HP_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.744373059228803,0.357643346091671,0.0320646027963538,1.45668151566125,2.0813278573845,0.0407718992644487,4.61628102677753,*,,,0.00261450335055868,!,0,0.984751713025296,,0.28,
GC_ML_DG_head_rhx,SUBJ * AHI.F * AGE + GENDER + SBTIV,SUBJ1:AHI.F1,0.882295667634544,0.397808521238698,0.0899913320001823,1.67460000326891,2.21789031790282,0.0295495422557714,5.08072040761028,*,,,0.961981141170828,,0,0.361035828687649,,0.874,
