Outcome,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
Whole_hippocampus_rhx,.577,,0,.563,,.974,
Whole_hippocampal_head_rhx,.690,,1,.466,,.214,
Whole_hippocampal_body_rhx,.441,,0,.523,,.886,
Hippocampal_tail_rhx,.078,,0,.090,,.298,
hippocampal_fissure_rhx,.014,!,0,.050,!,.186,
fimbria_rhx,.035,!,0,.817,,.946,
parasubiculum_rhx,.818,,0,.023,!,.502,
HATA_rhx,.768,,0,.219,,.310,
presubiculum_head_rhx,.471,,0,.060,,.356,
subiculum_head_rhx,.761,,0,.560,,.790,
CA1_head_rhx,.353,,0,.364,,.636,
CA3_head_rhx,.447,,0,.176,,.604,
molecular_layer_HP_head_rhx,.001,!,0,.677,,.544,
GC_ML_DG_head_rhx,.840,,1,.018,!,.716,
CA4_head_rhx,.806,,1,.014,!,.176,
presubiculum_body_rhx,.086,,0,.005,!,.292,
subiculum_body_rhx,.171,,0,.014,!,.454,
CA1_body_rhx,.737,,0,.408,,.242,
CA3_body_rhx,.459,,0,.674,,.646,
molecular_layer_HP_body_rhx,.693,,0,.952,,.546,
GC_ML_DG_body_rhx,.568,,0,.697,,.548,
CA4_body_rhx,.948,,0,.578,,.910,
Whole_hippocampus_lhx,.204,,0,.279,,.188,
Whole_hippocampal_head_lhx,.395,,0,.165,,.762,
Whole_hippocampal_body_lhx,.174,,0,.127,,.040,!
Hippocampal_tail_lhx,.933,,0,.524,,.414,
hippocampal_fissure_lhx,.280,,0,.064,,.682,
fimbria_lhx,.760,,0,< .001,!,.198,
parasubiculum_lhx,.641,,0,.114,,.336,
HATA_lhx,.844,,0,.048,!,.816,
presubiculum_head_lhx,.427,,0,.980,,.632,
subiculum_head_lhx,.582,,0,.632,,.902,
CA1_head_lhx,.236,,0,.394,,.250,
CA3_head_lhx,.583,,0,.339,,.594,
molecular_layer_HP_head_lhx,.042,!,0,.564,,.396,
GC_ML_DG_head_lhx,.326,,0,.165,,.318,
CA4_head_lhx,.193,,0,.650,,.928,
presubiculum_body_lhx,.120,,1,< .001,!,.542,
subiculum_body_lhx,.792,,0,.276,,.100,
CA1_body_lhx,.722,,0,.570,,.236,
CA3_body_lhx,.534,,0,.281,,.316,
molecular_layer_HP_body_lhx,.895,,0,.064,,.064,
GC_ML_DG_body_lhx,.155,,0,.322,,.634,
CA4_body_lhx,.893,,0,.080,,.380,
